# Version = 1.0.1, Revision date = 13-Dec-2019
# Energies of bodies read from file SunEarthMars.txt, at each time step.
# Time_step	Potential_energy	Kinetic_energy	Total_energy
0	-11333913362098724709107806702141440.000000	2835111593922524673050255885860864.000000	-8498801768176200036057550816280576.000000
1	-11333913359853207164701161411313664.000000	2835111592799767630229190150717440.000000	-8498801767053438958011218957172736.000000
2	-11333913353116663754853262393606144.000000	2835111589431495348844488338440192.000000	-8498801763685168406008774055165952.000000
3	-11333913341889092173721100435324928.000000	2835111583817711287660664269570048.000000	-8498801758071380309599683862331392.000000
4	-11333913326170501644676712391245824.000000	2835111575958416599599222550953984.000000	-8498801750212085045077489840291840.000000
5	-11333913305960901391092135116144640.000000	2835111565853618202189190823673856.000000	-8498801740107283765363696595894272.000000
6	-11333913281260300636339405464797184.000000	2835111553503320707116587515117568.000000	-8498801727756979929222817949679616.000000
7	-11333913252068720133005606360449024.000000	2835111538907529878988935659520000.000000	-8498801713161190830477423004352512.000000
8	-11333913218386164492776756230488064.000000	2835111522066255517639024415080448.000000	-8498801696319908398676979511984128.000000
9	-11333913180212661385768965639241728.000000	2835111502979506846438890636574720.000000	-8498801677233154539330075002667008.000000
10	-11333913137548229258726308296261632.000000	2835111481647294241682075785625600.000000	-8498801655900935017044232510636032.000000
11	-11333913090392893475921885552181248.000000	2835111458069629809044378234126336.000000	-8498801632323263666877507318054912.000000
12	-11333913038746679401628798757634048.000000	2835111432246526807123100960817152.000000	-8498801606500152018044945493393408.000000
13	-11333912982609617011806167690641408.000000	2835111404178000223897803854708736.000000	-8498801578431616211447611532509184.000000
14	-11333912921981740894099130556612608.000000	2835111373864066200269551411658752.000000	-8498801548117674693829579144953856.000000
15	-11333912856863078718623797919875072.000000	2835111341304739724217903520677888.000000	-8498801515558338994405894399197184.000000
16	-11333912787253674296397344840613888.000000	2835111306500040971869190801588224.000000	-8498801480753633324528154039025664.000000
17	-11333912713153557603378891096850432.000000	2835111269449989542888991570788352.000000	-8498801443703568060489899526062080.000000
18	-11333912634562779368114639389851648.000000	2835111230154605036942884144676864.000000	-8498801404408174331171755245174784.000000
19	-11333912551481383401621764779802624.000000	2835111188613911665382465267040256.000000	-8498801362867471736239299512762368.000000
20	-11333912463909408903231423899500544.000000	2835111144827931333716322467971072.000000	-8498801319081477569515101431529472.000000
21	-11333912371846908907332828663906304.000000	2835111098796688829756804794679296.000000	-8498801273050220654036776172650496.000000
22	-11333912275293941060001209415368704.000000	2835111050520209517777013597798400.000000	-8498801224773730965763443514146816.000000
23	-11333912174250551478096750427766784.000000	2835110999998522797275316351926272.000000	-8498801174252028104360681772417024.000000
24	-11333912068716802419380700470837248.000000	2835110947231654608985566711119872.000000	-8498801121485147810395133759717376.000000
25	-11333911958692751529928289886928896.000000	2835110892219637234709893667094528.000000	-8498801066473114295218396219834368.000000
26	-11333911844178458761657758232084480.000000	2835110834962499497485912391024640.000000	-8498801009215958687711093537636352.000000
27	-11333911725173990984016372703428608.000000	2835110775460273679115751874625536.000000	-8498800949713716728439868525379584.000000
28	-11333911601679417372294409711779840.000000	2835110713712994943705302626729984.000000	-8498800887966423005049859388473344.000000
29	-11333911473694802490096127240568832.000000	2835110649720697302438950549323776.000000	-8498800823974105187657176691245056.000000
30	-11333911341220220124397820128002048.000000	2835110583483415919422586151239680.000000	-8498800757736804781435986280185856.000000
31	-11333911204255750979704810853367808.000000	2835110515001190570448118368698368.000000	-8498800689254560985717444788092928.000000
32	-11333911062801464231307375827484672.000000	2835110444274056419621437710532608.000000	-8498800618527408388146690420375552.000000
33	-11333910916857442889553846743334912.000000	2835110371302056125038214630080512.000000	-8498800545555386188054879809830912.000000
34	-11333910766423769964792555293900800.000000	2835110296085230038951110366986240.000000	-8498800470338540502302197230338048.000000
35	-11333910611500528467371833172164608.000000	2835110218623620242995043071164416.000000	-8498800392876908224376790101000192.000000
36	-11333910452087808325169039712190464.000000	2835110138917270548187187802800128.000000	-8498800313170537776981851909390336.000000
37	-11333910288185694854375515820654592.000000	2835110056966225918466224228925440.000000	-8498800231219468359448539288305664.000000
38	-11333910119794287206240657686396928.000000	2835109972770531317770832016572416.000000	-8498800147023755312009073366401024.000000
39	-11333909946913675308641824643481600.000000	2835109886330236321725709260161024.000000	-8498800060583438986916115383320576.000000
40	-11333909769543956006985403667054592.000000	2835109797645389353034049447264256.000000	-8498799971898566653951354219790336.000000
41	-11333909587685230758363800159649792.000000	2835109706716039410859798368878592.000000	-8498799880969191347504001790771200.000000
42	-11333909401337605631555437951188992.000000	2835109613542237223749158726270976.000000	-8498799787795368407806279224918016.000000
43	-11333909210501177471966704016818176.000000	2835109518124037555473599344672768.000000	-8498799692377140492953856975568896.000000
44	-11333909015176061571748059041234944.000000	2835109420461491711040075228774400.000000	-8498799594714569860707983812460544.000000
45	-11333908815362354776305889999585280.000000	2835109320554656183602312114077696.000000	-8498799494807699169164330188931072.000000
46	-11333908611060190824534731286118400.000000	2835109218403586889853283432660992.000000	-8498799392656603358220695550033920.000000
47	-11333908402269671173526988303368192.000000	2835109114008340899407467223449600.000000	-8498799288261329697658768776495104.000000
48	-11333908188990915727119140163420160.000000	2835109007368978164183103042486272.000000	-8498799181621938139396789424357376.000000
49	-11333907971224044389147665978359808.000000	2835108898485558059637678142390272.000000	-8498799072738486329509987835969536.000000
50	-11333907748969186286821081715048448.000000	2835108787358142843532441292898304.000000	-8498798961611043443288640422150144.000000
51	-11333907522226452100603829630795776.000000	2835108673986793044246384353476608.000000	-8498798848239659056357445277319168.000000
52	-11333907290995984792762480974626816.000000	2835108558371574954766022217826304.000000	-8498798732624410414457211060224000.000000
53	-11333907055277906572976524072321024.000000	2835108440512551985774108262531072.000000	-8498798614765354010741663506366464.000000
54	-11333906815072353485983502531821568.000000	2835108320409792159639414291562496.000000	-8498798494662561326344088240259072.000000
55	-11333906570379456964834941533683712.000000	2835108198063361192887702895198208.000000	-8498798372316095771947238638485504.000000
56	-11333906321199359971797412326932480.000000	2835108073473329413730755091103744.000000	-8498798247726029981605904932405248.000000
57	-11333906067532198551608458519511040.000000	2835107946639767150380351896944640.000000	-8498798120892431977688858925989888.000000
58	-11333905809378122584063679001526272.000000	2835107817562745883969778937233408.000000	-8498797991815376700093900064292864.000000
59	-11333905546737268113900617380921344.000000	2835107686242337672093074139906048.000000	-8498797860494929865346790937591808.000000
60	-11333905279609789632600890975191040.000000	2835107552678616878187284646592512.000000	-8498797726931173330874358632022016.000000
61	-11333905007995832408274080247054336.000000	2835107416871658442150209902346240.000000	-8498797591124173966123870344708096.000000
62	-11333904731895560155773839368781824.000000	2835107278821539033261906262491136.000000	-8498797453074020546051180802867200.000000
63	-11333904451309111225680721162010624.000000	2835107138528336473723934689198080.000000	-8498797312780774175496034169389056.000000
64	-11333904166236658556220416653787136.000000	2835106995992130315120113054908416.000000	-8498797170244528241100303598878720.000000
65	-11333903876678356638874543161606144.000000	2835106851213000109034259232063488.000000	-8498797025465356529840283929542656.000000
66	-11333903582634371494339764071432192.000000	2835106704191027712893200306798592.000000	-8498796878443344357907316068057088.000000
67	-11333903284104866837469733555535872.000000	2835106554926296137045267972096000.000000	-8498796729178570123963713280016384.000000
68	-11333902981090010994804124213575680.000000	2835106403418889544760298527784960.000000	-8498796577671121450043825685790720.000000
69	-11333902673589974598725617858904064.000000	2835106249668893252229632880541696.000000	-8498796423921081346495984978362368.000000
70	-11333902361604935199145923945955328.000000	2835106093676393728566116543889408.000000	-8498796267928542047040559705489408.000000
71	-11333902045135061122604715074387968.000000	2835105935441479748725604245045248.000000	-8498796109693581950339863132766208.000000
72	-11333901724180534530699719126024192.000000	2835105774964238934742446104379392.000000	-8498795949216295595957273021644800.000000
73	-11333901398741539890871673196380160.000000	2835105612244762367415506062802944.000000	-8498795786496777523456167133577216.000000
74	-11333901068818247835503259098808320.000000	2835105447283142856925904971497472.000000	-8498795621535104978577354127310848.000000
75	-11333900734410865890465306065764352.000000	2835105280079472636994011378221056.000000	-8498795454331393253471294687543296.000000
76	-11333900395519564688140495910600704.000000	2835105110633845094261698437578752.000000	-8498795284885719593878797473021952.000000
77	-11333900052144537919341602583609344.000000	2835104938946356497674600821293056.000000	-8498795113198181998127754065739776.000000
78	-11333899704285981580724409248776192.000000	2835104765017103692639105504509952.000000	-8498794939268877311624551440842752.000000
79	-11333899351944098586473726711169024.000000	2835104588846184677483104069222400.000000	-8498794763097913908990622641946624.000000
80	-11333898995119073404030292066304000.000000	2835104410433698603455992704270336.000000	-8498794584685374800574299362033664.000000
81	-11333898633811118170950952974024704.000000	2835104229779744621807167598493696.000000	-8498794404031372972683033072107520.000000
82	-11333898268020431189734501812011008.000000	2835104046884427071932795671543808.000000	-8498794221136004117801706140467200.000000
83	-11333897897747222292094777026412544.000000	2835103861747846834464530022531072.000000	-8498794035999375457630247003881472.000000
84	-11333897522991694392216589422297088.000000	2835103674370109401720042177953792.000000	-8498793848621584990496547244343296.000000
85	-11333897143754064239342805086896128.000000	2835103484751321418938508271157248.000000	-8498793659002742243943544512315392.000000
86	-11333896760034541665187262466359296.000000	2835103292891587225516095221792768.000000	-8498793467142954439671167244566528.000000
87	-11333896371833350336521855288999936.000000	2835103098791015772534988376899584.000000	-8498793273042334563986866912100352.000000
88	-11333895979150697779217412787273728.000000	2835102902449717740459629993787392.000000	-8498793076700980615218535096909824.000000
89	-11333895581986816883417865544269824.000000	2835102703867802656832957722918912.000000	-8498792878119013650124155517927424.000000
90	-11333895180341922092523070433525760.000000	2835102503045384084423175338721280.000000	-8498792677296537431639142791380992.000000
91	-11333894774216241684990939610742784.000000	2835102299982572127233972795080704.000000	-8498792474233669557756966815662080.000000
92	-11333894363610006245122394445316096.000000	2835102094679483230337315383541760.000000	-8498792268930523014785079061774336.000000
93	-11333893948523448663061365520334848.000000	2835101887136233262344416092225536.000000	-8498792061387215400716949428109312.000000
94	-11333893528956799523108774205194240.000000	2835101677352938091866487909253120.000000	-8498791851603862007703038599364608.000000
95	-11333893104910298632937578724065280.000000	2835101465329716469818505339863040.000000	-8498791639580582739579825687625728.000000
96	-11333892676384181188534718873731072.000000	2835101251066687723576195192717312.000000	-8498791425317492888497771377590272.000000
97	-11333892243378691609259171305750528.000000	2835101034563973486358293490171904.000000	-8498791208814718122900877815578624.000000
98	-11333891805894072008626903457988608.000000	2835100815821694238462031647735808.000000	-8498790990072377193704119506829312.000000
99	-11333891363930571417682910409392128.000000	2835100594839973342488402598035456.000000	-8498790769090598075194507811356672.000000
100	-11333890917488436561629178025213952.000000	2835100371618936466881408487391232.000000	-8498790545869499518287017234399232.000000
101	-11333890466567918777353710598094848.000000	2835100146158709856545803765547008.000000	-8498790320409208344347154529124352.000000
102	-11333890011169271707587521634369536.000000	2835099918459419179925590578823168.000000	-8498790092709852527661931055546368.000000
103	-11333889551292758218433661495148544.000000	2835099688521192987768532590657536.000000	-8498789862771564654204376601067520.000000
104	-11333889086938627340937125259378688.000000	2835099456344160983743898071334912.000000	-8498789630594465780732474884620288.000000
